2026-05-30T02:00:00.001+00:00 | INFO | ApiGateway | Instance api-7 started, build 2026.5.30-rc1
2026-05-30T02:00:00.214+00:00 | TRACE | AuthService | Warmed JWT cache (128 keys)
2026-05-30T02:00:00.530+00:00 | INFO | Database | Connection pool initialized (min=4 max=32)
2026-05-30T02:00:01.000+00:00 | INFO | Scheduler | Registered 14 cron jobs
2026-05-30T02:00:03.412+00:00 | INFO | AuthService | User 1002 authenticated successfully
2026-05-30T02:00:03.880+00:00 | INFO | OrderService | Order 50001 accepted for user 1002
2026-05-30T02:00:04.115+00:00 | TRACE | PaymentService | Authorizing 49.99 USD for order 50001
2026-05-30T02:00:04.602+00:00 | INFO | PaymentService | Payment captured for order 50001
2026-05-30T02:00:06.300+00:00 | INFO | AuthService | User 1003 authenticated successfully
2026-05-30T02:00:07.140+00:00 | WARNING | Cache | Hit ratio 61%, below target 80%
2026-05-30T02:00:08.700+00:00 | INFO | OrderService | Order 50002 accepted for user 1003
2026-05-30T02:00:09.020+00:00 | ERROR | PaymentService | Gateway timeout after 3000ms for order 50002
2026-05-30T02:00:09.450+00:00 | WARNING | PaymentService | Entering degraded mode, queuing captures
2026-05-30T02:00:10.260+00:00 | INFO | PaymentService | Retrying payment for order 50002 (attempt 2)
2026-05-30T02:00:11.900+00:00 | ERROR | PaymentService | Gateway timeout after 3000ms for order 50002
2026-05-30T02:00:12.330+00:00 | ERROR | PaymentService | Gateway timeout after 3000ms for order 50003
2026-05-30T02:00:13.001+00:00 | CRITICAL | PaymentService | Capture queue depth exceeded 500, shedding load
2026-05-30T02:00:14.770+00:00 | WARNING | Database | Replication lag 2400ms on replica-2
2026-05-30T02:00:16.500+00:00 | INFO | PaymentService | Upstream gateway recovered, draining queue
2026-05-30T02:00:18.220+00:00 | INFO | PaymentService | Payment captured for order 50002
2026-05-30T02:00:18.640+00:00 | INFO | PaymentService | Payment captured for order 50003
2026-05-30T02:00:20.010+00:00 | INFO | PaymentService | Exited degraded mode
2026-05-30T02:00:21.300+00:00 | TRACE | Cache | Evicted 2048 stale entries
2026-05-30T02:00:22.880+00:00 | INFO | OrderService | Order 50004 accepted for user 1007
2026-05-30T02:00:24.150+00:00 | INFO | AuthService | User 1009 authenticated successfully
2026-05-30T02:00:25.600+00:00 | WARNING | AuthService | 3 failed login attempts for user 1009
2026-05-30T02:00:27.040+00:00 | ERROR | AuthService | Account 1009 locked after repeated failures
2026-05-30T02:00:29.700+00:00 | INFO | Scheduler | Nightly compaction started
2026-05-30T02:00:34.520+00:00 | INFO | Scheduler | Nightly compaction finished in 4820ms
2026-05-30T02:00:36.000+00:00 | INFO | ApiGateway | Health check OK (uptime 36s)
